Model,Gen_Balls_Pur,Gen_Balls_Num,CV_Score,Test_Score,Best_Params
OvO_PinGBTSVM,1,4,,0.9364161849710982,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,2,4,,0.9364161849710982,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,5,5,,0.930635838150289,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,7,3,,0.9248554913294798,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,10,3,,0.9248554913294798,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,1,3,,0.9132947976878613,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,7,1,,0.9075144508670521,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,7,5,,0.8959537572254336,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,5,4,,0.8901734104046243,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,1,5,,0.8901734104046243,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,10,1,,0.8786127167630058,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,10,5,,0.8728323699421965,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,5,2,,0.8670520231213873,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,7,4,,0.8554913294797688,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,1,1,,0.8554913294797688,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,10,4,,0.8439306358381503,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,2,1,,0.8439306358381503,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,10,4,,0.8439306358381503,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,2,5,,0.838150289017341,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,5,1,,0.8265895953757225,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,2,3,,0.8208092485549133,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,5,3,,0.8034682080924855,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,1,4,,0.8034682080924855,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,5,4,,0.7976878612716763,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,1,2,,0.7976878612716763,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,5,5,,0.7861271676300579,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,10,3,,0.7803468208092486,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,7,3,,0.7803468208092486,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,7,5,,0.7745664739884393,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,1,5,,0.7572254335260116,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,10,5,,0.7514450867052023,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,7,4,,0.7456647398843931,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,2,5,,0.7456647398843931,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,2,3,,0.7398843930635838,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,1,3,,0.7283236994219653,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,10,2,,0.7283236994219653,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,7,1,,0.7225433526011561,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,2,4,,0.6994219653179191,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,7,2,,0.6994219653179191,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,10,1,,0.6878612716763006,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OvO_PinGBTSVM,2,2,,0.6878612716763006,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,5,1,,0.6820809248554913,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,5,2,,0.6820809248554913,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,1,1,,0.6820809248554913,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,2,1,,0.6820809248554913,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,7,2,,0.6820809248554913,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,5,3,,0.6820809248554913,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,2,2,,0.6763005780346821,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,1,2,,0.6763005780346821,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
OVR_PinGBTSVM,10,2,,0.6705202312138728,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01, 'tan': 1}"
